,Date,Momentum,Volatility,Volume Change,Return,Next Return,Return_lag1,Return_lag5,Momentum_5,Momentum_10,Volatility_5,Volatility_10,Mom_x_Vol,Mom_x_VolChange,Momentum_sq,Volatility_sq,Target
0,2025-01-27,0.00010304409598425047,0.022766051510181903,0.7343152113700893,0.03178016453240451,0.03654408613920723,-0.00393458811566294,0.007535300675703516,0.00010304409598425047,-0.0027796049067880246,0.022766051510181903,0.02160734116637871,2.345907196997574e-06,7.566684712311465e-05,1.0618085717211424e-08,0.0005182931013642557,1
1,2025-01-28,0.013795028114830132,0.018964185107368123,-0.2019303545940795,0.03654408613920723,0.004616873665828747,0.03178016453240451,-0.03191583395502218,0.013795028114830132,0.001909214609310972,0.018964185107368123,0.024655798058135812,0.00026161146673098613,-0.0027856349188629444,0.0001903028006889538,0.0003596403167865229,1
2,2025-01-29,0.013649414333792608,0.019047898989599254,-0.39918713576972453,0.004616873665828747,-0.007394815053348824,0.03654408613920723,0.0053449425710163645,0.013649414333792608,0.0028487207315072483,0.019047898989599254,0.024551439770543592,0.0002599926654972698,-0.005448670612840894,0.00018630651165554312,0.0003628224559179763,0
3,2025-01-30,0.012322344233685745,0.02048003935633811,0.22363315386458726,-0.007394815053348824,-0.006692194071819979,0.004616873665828747,-0.0007594645528145039,0.012322344233685745,0.00014164608552078573,0.02048003935633811,0.023975569111875213,0.00025236209486823003,0.0027556847039842537,0.00015184016741344832,0.0004194320120371579,0
4,2025-02-04,-0.004463632320883271,0.02005444104713695,-0.38317458970509133,0.021007923869700296,-0.0014175665292441852,-0.03385595001477659,0.03654408613920723,-0.004463632320883271,0.004665697896973431,0.02005444104713695,0.020765169534757988,-8.951565123524863e-05,0.001710350483148832,1.9924013496033776e-05,0.00040218060571309137,0
5,2025-02-05,-0.005670520359897857,0.019546498772101517,-0.12086368608725173,-0.0014175665292441852,0.0032262256341100137,0.021007923869700296,0.004616873665828747,-0.005670520359897857,0.003989446986947376,0.019546498772101517,0.020850531493583162,-0.00011083881925192011,0.0006853599927300644,3.2154801152016124e-05,0.0003820656142477661,1
6,2025-02-06,-0.0035463122224060895,0.019886427865671134,-0.24469779380771983,0.0032262256341100137,-0.023968793125519916,-0.0014175665292441852,-0.007394815053348824,-0.0035463122224060895,0.004388016005639828,0.019886427865671134,0.020787666603804763,-7.052348220002659e-05,0.000867774776976122,1.2576330378786817e-05,0.00039547001325654135,0
7,2025-02-07,-0.007001632033146077,0.021962268961114202,0.32687725770501874,-0.023968793125519916,0.0011873766168293276,0.0032262256341100137,-0.006692194071819979,-0.007001632033146077,0.00238459550465413,0.021962268961114202,0.022568044500482585,-0.000153771725878707,-0.0022886742784544046,4.9022851127577264e-05,0.0004823412579203203,1
8,2025-02-11,0.00017182114086078393,0.016315740621260674,0.622147869886096,0.02183186310812868,0.01827011820213542,0.0011873766168293276,0.021007923869700296,0.00017182114086078393,-0.0021459055900112435,0.016315740621260674,0.017407707625338373,2.8033891675336446e-06,0.00010689815678793559,2.9522504446701353e-08,0.0002662033920202556,1
9,2025-02-12,0.004109358087136705,0.018112942785594253,-0.15776903258473818,0.01827011820213542,0.019673207062975928,0.02183186310812868,-0.0014175665292441852,0.004109358087136705,-0.0007805811363805759,0.018112942785594253,0.018498325144920655,7.443256791782619e-05,-0.0006483294499518282,1.6886823888315844e-05,0.0003280786963542109,1
10,2025-02-13,0.007398754372909888,0.01936277109433006,0.1850174500975834,0.019673207062975928,0.012710672820557045,0.01827011820213542,0.0032262256341100137,0.007398754372909888,0.0019262210752518994,0.01936277109433006,0.019382219451433123,0.00014326038730582772,0.0013688986679741323,5.4741566270653195e-05,0.0003749169044514236,1
